source_lang,target_lang,quant_level,bleu,chrf,comet22,kiwi23,num_sentences,benchmark,source_lang_resource_level,target_lang_resource_level
English,German,4-Bit,24.65,51.3,0.754,0.6426,960,WMT24++,High Resource,High Resource
German,English,4-Bit,31.5,56.69,0.8128,0.7884,960,WMT24++,High Resource,High Resource
English,Russian,4-Bit,20.43,45.33,0.7625,0.6282,960,WMT24++,High Resource,High Resource
Russian,English,4-Bit,24.33,50.36,0.767,0.7425,960,WMT24++,High Resource,High Resource
English,French,4-Bit,33.42,56.68,0.7549,0.6238,1920,WMT24++,High Resource,High Resource
French,English,4-Bit,36.91,60.64,0.8167,0.7743,1920,WMT24++,High Resource,High Resource
English,Dutch,4-Bit,25.1,49.99,0.7734,0.638,960,WMT24++,High Resource,Mid Resource
Dutch,English,4-Bit,33.11,57.99,0.8224,0.8103,960,WMT24++,Mid Resource,High Resource
English,Polish,4-Bit,14.89,40.01,0.7631,0.5728,960,WMT24++,High Resource,Mid Resource
Polish,English,4-Bit,26.06,53.57,0.7833,0.6922,960,WMT24++,Mid Resource,High Resource
English,Latvian,4-Bit,16.06,40.8,0.7206,0.4471,960,WMT24++,High Resource,Mid Resource
Latvian,English,4-Bit,25.47,51.05,0.7713,0.6975,960,WMT24++,Mid Resource,High Resource
English,Zulu,4-Bit,25.47,59.53,0.7749,0.5752,960,WMT24++,High Resource,Low Resource
Zulu,English,4-Bit,35.37,57.28,0.7662,0.6104,960,WMT24++,Low Resource,High Resource
English,Telugu,4-Bit,12.06,44.91,0.737,0.5997,960,WMT24++,High Resource,Low Resource
Telugu,English,4-Bit,24.31,49.16,0.821,0.6829,960,WMT24++,Low Resource,High Resource
English,Swahili,4-Bit,21.21,50.78,0.7156,0.5317,1920,WMT24++,High Resource,Low Resource
Swahili,English,4-Bit,31.18,54.77,0.7858,0.7375,1920,WMT24++,Low Resource,High Resource
English,German,Baseline,25.16,51.87,0.7564,0.6483,960,WMT24++,High Resource,High Resource
German,English,Baseline,31.38,56.59,0.8113,0.7858,960,WMT24++,High Resource,High Resource
English,Russian,Baseline,20.42,45.3,0.7633,0.6312,960,WMT24++,High Resource,High Resource
Russian,English,Baseline,24.15,50.09,0.7668,0.7404,960,WMT24++,High Resource,High Resource
English,French,Baseline,32.95,56.21,0.7568,0.6235,1920,WMT24++,High Resource,High Resource
French,English,Baseline,36.97,60.65,0.8162,0.7736,1920,WMT24++,High Resource,High Resource
English,Dutch,Baseline,25.17,50.24,0.7739,0.6414,960,WMT24++,High Resource,Mid Resource
Dutch,English,Baseline,33.15,58.03,0.8211,0.8069,960,WMT24++,Mid Resource,High Resource
English,Polish,Baseline,14.69,39.62,0.7648,0.578,960,WMT24++,High Resource,Mid Resource
Polish,English,Baseline,27.24,53.9,0.7862,0.6957,960,WMT24++,Mid Resource,High Resource
English,Latvian,Baseline,16.41,41.75,0.7282,0.4575,960,WMT24++,High Resource,Mid Resource
Latvian,English,Baseline,25.69,51.14,0.7737,0.701,960,WMT24++,Mid Resource,High Resource
English,Zulu,Baseline,26.37,60.69,0.7831,0.5835,960,WMT24++,High Resource,Low Resource
Zulu,English,Baseline,35.08,56.97,0.7643,0.613,960,WMT24++,Low Resource,High Resource
English,Telugu,Baseline,12.24,45.32,0.7423,0.6053,960,WMT24++,High Resource,Low Resource
Telugu,English,Baseline,24.13,48.76,0.8191,0.6809,960,WMT24++,Low Resource,High Resource
English,Swahili,Baseline,21.99,51.4,0.7181,0.5319,1920,WMT24++,High Resource,Low Resource
Swahili,English,Baseline,31.55,54.99,0.7874,0.7403,1920,WMT24++,Low Resource,High Resource
English,German,8-Bit,25.33,51.99,0.7564,0.6491,960,WMT24++,High Resource,High Resource
German,English,8-Bit,31.19,56.5,0.8111,0.7855,960,WMT24++,High Resource,High Resource
English,Russian,8-Bit,20.48,45.38,0.7651,0.6344,960,WMT24++,High Resource,High Resource
Russian,English,8-Bit,24.15,50.04,0.7669,0.7412,960,WMT24++,High Resource,High Resource
English,French,8-Bit,32.96,56.18,0.7577,0.6242,1920,WMT24++,High Resource,High Resource
French,English,8-Bit,37.02,60.72,0.8166,0.7742,1920,WMT24++,High Resource,High Resource
English,Dutch,8-Bit,25.3,50.27,0.775,0.6432,960,WMT24++,High Resource,Mid Resource
Dutch,English,8-Bit,33.11,57.92,0.8216,0.8073,960,WMT24++,Mid Resource,High Resource
English,Polish,8-Bit,14.92,39.97,0.7654,0.5775,960,WMT24++,High Resource,Mid Resource
Polish,English,8-Bit,27.17,53.89,0.786,0.6965,960,WMT24++,Mid Resource,High Resource
English,Latvian,8-Bit,16.45,41.69,0.7257,0.4563,960,WMT24++,High Resource,Mid Resource
Latvian,English,8-Bit,25.52,51.01,0.7731,0.7,960,WMT24++,Mid Resource,High Resource
English,Zulu,8-Bit,26.31,60.64,0.7816,0.5815,960,WMT24++,High Resource,Low Resource
Zulu,English,8-Bit,34.92,56.77,0.7648,0.614,960,WMT24++,Low Resource,High Resource
English,Telugu,8-Bit,12.07,45.13,0.7405,0.6026,960,WMT24++,High Resource,Low Resource
Telugu,English,8-Bit,24.06,48.79,0.8189,0.6807,960,WMT24++,Low Resource,High Resource
English,Swahili,8-Bit,21.93,51.2,0.7167,0.5305,1920,WMT24++,High Resource,Low Resource
Swahili,English,8-Bit,31.56,54.95,0.7875,0.7407,1920,WMT24++,Low Resource,High Resource
Swahili,German,4-Bit,10.552670315936318,47.17487075744412,0.7083919556811452,0.6030898585983474,960,WMT24++,Low Resource,High Resource
Swahili,Russian,4-Bit,15.580105704117445,30.752808777058664,0.7357567253212134,0.5449876833644036,960,WMT24++,Low Resource,High Resource
Swahili,French,4-Bit,29.660903203497252,56.07914469570676,0.7177881557183962,0.5605095223256892,960,WMT24++,Low Resource,High Resource
Swahili,Dutch,4-Bit,12.549310621989482,28.720486746055684,0.7397019502551605,0.5610991219985105,960,WMT24++,Low Resource,Mid Resource
Swahili,Polish,4-Bit,14.535768424205482,29.59423242786269,0.7362280742265284,0.4334959532260351,960,WMT24++,Low Resource,Mid Resource
Swahili,Latvian,4-Bit,43.47208719449914,43.54963791656199,0.6886617357066522,0.3190037514514794,960,WMT24++,Low Resource,Mid Resource
Swahili,Zulu,4-Bit,6.742555929751843,53.779997138440315,0.7693477798098077,0.3840840909775579,960,WMT24++,Low Resource,Low Resource
Swahili,Telugu,4-Bit,6.022140676213379,29.33781490499383,0.7226167660516997,0.5089506893835885,960,WMT24++,Low Resource,Low Resource
Polish,German,4-Bit,25.40663740773074,48.86975116877062,0.7359454550004254,0.6311993548156655,960,WMT24++,Mid Resource,High Resource
Polish,Russian,4-Bit,6.567274736060395,19.1537479550099,0.7740030352026224,0.6498430410569805,960,WMT24++,Mid Resource,High Resource
Polish,French,4-Bit,14.535768424205482,40.68922697548847,0.7308659836960335,0.6059154188328345,960,WMT24++,Mid Resource,High Resource
Polish,Dutch,4-Bit,9.652434877402245,30.061181271171115,0.7542763618907581,0.5843805850294302,960,WMT24++,Mid Resource,Mid Resource
Polish,Latvian,4-Bit,14.535768424205482,41.52389411893698,0.696086642316853,0.4111268530153514,960,WMT24++,Mid Resource,Mid Resource
Polish,Zulu,4-Bit,9.652434877402245,42.52543438319202,0.7172541813459248,0.3804769860245869,960,WMT24++,Mid Resource,Low Resource
Polish,Telugu,4-Bit,16.515821590069034,16.902177292642545,0.7150800918539365,0.6005711465710192,960,WMT24++,Mid Resource,Low Resource
Polish,Swahili,4-Bit,78.96895367562644,29.53487056366117,0.7282607156783343,0.4106622581229506,960,WMT24++,Mid Resource,Low Resource
French,German,4-Bit,19.96019880774733,49.03873596820546,0.7478109677632649,0.6062734199833357,960,WMT24++,High Resource,High Resource
French,Russian,4-Bit,26.084743001221455,35.46049303951584,0.7752883797821899,0.6002972947467545,960,WMT24++,High Resource,High Resource
French,Dutch,4-Bit,7.809849842300637,24.17686276178469,0.7756518063445886,0.5932377780545115,960,WMT24++,High Resource,Mid Resource
French,Polish,4-Bit,26.084743001221455,35.11476069082081,0.7782230953375499,0.5455672268425891,960,WMT24++,High Resource,Mid Resource
French,Latvian,4-Bit,21.834177214239062,31.011436471348347,0.7232957435616603,0.3940051302333207,960,WMT24++,High Resource,Mid Resource
French,Zulu,4-Bit,9.2875289995668,44.26172128947691,0.7309799612189333,0.4262359714703052,960,WMT24++,High Resource,Low Resource
French,Telugu,4-Bit,23.736810439041953,24.71920803932803,0.7431754669795434,0.6220182534661338,960,WMT24++,High Resource,Low Resource
French,Swahili,4-Bit,18.277761142725613,32.05879340908584,0.7494241840516528,0.524620346618758,960,WMT24++,High Resource,Low Resource
Zulu,German,4-Bit,13.134549472120794,38.52135878504049,0.6712992808471123,0.4640800703122901,960,WMT24++,Low Resource,High Resource
Zulu,Russian,4-Bit,20.164945583740657,21.365905105340676,0.7008234106314679,0.3995610061150121,960,WMT24++,Low Resource,High Resource
Zulu,French,4-Bit,31.46660996956415,52.973347052461726,0.6718501981037358,0.4151191756759848,960,WMT24++,Low Resource,High Resource
Zulu,Dutch,4-Bit,19.72940627795883,25.83065132732061,0.6922847626265138,0.4478270845240331,960,WMT24++,Low Resource,Mid Resource
Zulu,Polish,4-Bit,14.113991930789776,19.987272106068215,0.6973559451599916,0.3899093118229454,960,WMT24++,Low Resource,Mid Resource
Zulu,Latvian,4-Bit,11.868405219520977,33.44747367386229,0.6619202218018472,0.2576011437636528,960,WMT24++,Low Resource,Mid Resource
Zulu,Telugu,4-Bit,14.535768424205482,25.987643115557702,0.7016307706323762,0.4345625024512022,960,WMT24++,Low Resource,Low Resource
Zulu,Swahili,4-Bit,25.459845316736786,41.93278439911424,0.7509650577480594,0.3657460139666606,960,WMT24++,Low Resource,Low Resource
Polish,German,Baseline,8.25791079503452,44.40104639782809,0.7384886679394792,0.6396661905906512,960,WMT24++,Mid Resource,High Resource
Polish,Russian,Baseline,6.567274736060395,20.740291482728935,0.7791537590014438,0.6555171935135149,960,WMT24++,Mid Resource,High Resource
Polish,French,Baseline,14.535768424205482,40.68922697548847,0.7301084467209875,0.6132994760050982,960,WMT24++,Mid Resource,High Resource
Polish,Dutch,Baseline,9.652434877402245,30.061181271171115,0.7589352436674138,0.5949776717626567,960,WMT24++,Mid Resource,Mid Resource
Polish,Latvian,Baseline,14.535768424205482,35.21916395812306,0.7070551931392401,0.4238822345883818,960,WMT24++,Mid Resource,Mid Resource
Polish,Zulu,Baseline,14.058533129758729,31.181643270736664,0.7187104784883559,0.3815025927552293,960,WMT24++,Mid Resource,Low Resource
Polish,Telugu,Baseline,9.2875289995668,17.22805306564404,0.7199519377822677,0.6090338486940406,960,WMT24++,Mid Resource,Low Resource
Polish,Swahili,Baseline,78.96895367562644,29.53487056366117,0.7320173216362794,0.4119386471434457,960,WMT24++,Mid Resource,Low Resource
Latvian,German,8-Bit,9.864703138979417,47.62717242341466,0.7084122754633426,0.5802399047616442,960,WMT24++,Mid Resource,High Resource
Latvian,Russian,8-Bit,13.04237150061073,41.39189593305047,0.7589660551398992,0.6319757538905832,960,WMT24++,Mid Resource,High Resource
Latvian,French,8-Bit,40.82482904638629,50.65197213370274,0.7057051737482349,0.5626556593696781,960,WMT24++,Mid Resource,High Resource
Latvian,Dutch,8-Bit,19.251614434393563,38.11954003329029,0.7327137060152987,0.5499362474617858,960,WMT24++,Mid Resource,Mid Resource
Latvian,Polish,8-Bit,6.8253021567726675,25.38307771340687,0.7446623001868526,0.5540971109371943,960,WMT24++,Mid Resource,Mid Resource
Latvian,Zulu,8-Bit,8.25791079503452,39.509520966543285,0.7144218978316833,0.3076360883390104,960,WMT24++,Mid Resource,Low Resource
Latvian,Telugu,8-Bit,13.485111859503691,43.896757083319336,0.7213870470412076,0.5031149264842194,960,WMT24++,Mid Resource,Low Resource
Latvian,Swahili,8-Bit,15.065202446392847,44.00423587108009,0.7304322365360956,0.3656050623797152,960,WMT24++,Mid Resource,Low Resource
Latvian,German,Baseline,9.864703138979417,47.62717242341466,0.7088690871062379,0.5815796657009439,960,WMT24++,Mid Resource,High Resource
Latvian,Russian,Baseline,13.04237150061073,41.39189593305047,0.7585739515566577,0.6330647219855261,960,WMT24++,Mid Resource,High Resource
Latvian,French,Baseline,40.82482904638629,50.65197213370274,0.7052377108794947,0.5615384670343094,960,WMT24++,Mid Resource,High Resource
Latvian,Dutch,Baseline,19.251614434393563,38.11954003329029,0.7313044698132823,0.5515675432451341,960,WMT24++,Mid Resource,Mid Resource
Latvian,Polish,Baseline,6.8253021567726675,25.38307771340687,0.7450983526185155,0.5562019495215887,960,WMT24++,Mid Resource,Mid Resource
Latvian,Zulu,Baseline,8.25791079503452,39.509520966543285,0.7168106744376321,0.3063611679414559,960,WMT24++,Mid Resource,Low Resource
Latvian,Telugu,Baseline,13.485111859503691,40.53768507328357,0.7206976930145175,0.5031337634640901,960,WMT24++,Mid Resource,Low Resource
Latvian,Swahili,Baseline,15.065202446392847,44.00423587108009,0.7300035188285013,0.3682715237751836,960,WMT24++,Mid Resource,Low Resource
French,German,Baseline,20.86130724305753,50.22251399195795,0.7504282467688124,0.6111795719431635,960,WMT24++,High Resource,High Resource
French,Russian,Baseline,26.084743001221455,35.46049303951584,0.7767461984107892,0.5997049599119539,960,WMT24++,High Resource,High Resource
French,Dutch,Baseline,7.809849842300637,24.17686276178469,0.779454625894626,0.5973703893983232,960,WMT24++,High Resource,Mid Resource
French,Polish,Baseline,26.084743001221455,35.11476069082081,0.7823786112790306,0.5574857321606639,960,WMT24++,High Resource,Mid Resource
French,Latvian,Baseline,8.643019616048525,32.655782248130464,0.7264624764521916,0.4003307050845857,960,WMT24++,High Resource,Mid Resource
French,Zulu,Baseline,9.2875289995668,44.63868026105334,0.7312173851144811,0.4286620036010087,960,WMT24++,High Resource,Low Resource
French,Telugu,Baseline,30.2137539735677,22.38565773398432,0.7436520631114641,0.6203960202493666,960,WMT24++,High Resource,Low Resource
French,Swahili,Baseline,33.437015248821105,33.8269828741819,0.752633235634615,0.5336974167250446,960,WMT24++,High Resource,Low Resource
German,Russian,8-Bit,12.137294292683093,27.39225639691638,0.7791054882419606,0.7048565553088945,960,WMT24++,High Resource,High Resource
German,French,8-Bit,35.993062543531785,57.76651118221873,0.7528103021594386,0.6739560950237016,960,WMT24++,High Resource,High Resource
German,Dutch,8-Bit,38.14165616365676,41.5431102828469,0.7948821392220755,0.723534092718425,960,WMT24++,High Resource,Mid Resource
German,Polish,8-Bit,19.881768219176266,41.25006780187815,0.7788997512931625,0.6832229804975214,960,WMT24++,High Resource,Mid Resource
German,Latvian,8-Bit,25.40663740773074,45.83240701272494,0.7307683376750599,0.5267835721116474,960,WMT24++,High Resource,Mid Resource
German,Zulu,8-Bit,11.478744233307168,36.8985237742851,0.7254474201084425,0.5044135816657217,960,WMT24++,High Resource,Low Resource
German,Telugu,8-Bit,42.72870063962342,16.451919035823845,0.7363634262544413,0.6637080328247975,960,WMT24++,High Resource,Low Resource
German,Swahili,8-Bit,37.991784282579665,26.532707162325615,0.7440405885999402,0.6410106197246932,960,WMT24++,High Resource,Low Resource
Dutch,German,4-Bit,26.65837681702885,55.78995473669496,0.7721713604560743,0.7270507108735426,960,WMT24++,Mid Resource,High Resource
Dutch,Russian,4-Bit,47.369534260115934,57.49347359675966,0.7672277793598672,0.6649901767998624,960,WMT24++,Mid Resource,High Resource
Dutch,French,4-Bit,32.53478520061145,57.22909189142307,0.7549061414164802,0.6691685305141921,960,WMT24++,Mid Resource,High Resource
Dutch,Polish,4-Bit,10.886972213737396,42.22452512892698,0.7794908866286278,0.6451172598298096,960,WMT24++,Mid Resource,Mid Resource
Dutch,Latvian,4-Bit,19.96019880774733,46.42413700662387,0.71827188632451,0.4740106536875828,960,WMT24++,Mid Resource,Mid Resource
Dutch,Zulu,4-Bit,7.809849842300637,44.49112137160093,0.7264878291947147,0.4935924291998769,960,WMT24++,Mid Resource,Low Resource
Dutch,Telugu,4-Bit,17.747405280050277,28.28556645212876,0.7364181616964439,0.6310117008193629,960,WMT24++,Mid Resource,Low Resource
Dutch,Swahili,4-Bit,13.950796967929133,39.815586365197944,0.7454397748224437,0.5860479072124387,960,WMT24++,Mid Resource,Low Resource
Russian,German,4-Bit,16.74765944848823,43.50728154519749,0.7176260906271636,0.608152458514572,960,WMT24++,High Resource,High Resource
Russian,French,4-Bit,26.50357256458591,63.88906555241858,0.7171823020403584,0.5782061568277034,960,WMT24++,High Resource,High Resource
Russian,Dutch,4-Bit,12.874330508144842,28.583058540452065,0.7355320766878625,0.5759683253840194,960,WMT24++,High Resource,Mid Resource
Russian,Polish,4-Bit,12.356221272626795,42.88121219490033,0.7558516715653241,0.6085811221273616,960,WMT24++,High Resource,Mid Resource
Russian,Latvian,4-Bit,19.674979811155634,55.694282822739794,0.7066700329538435,0.4477178626902363,960,WMT24++,High Resource,Mid Resource
Russian,Zulu,4-Bit,6.567274736060395,37.71606909931453,0.7027760537806899,0.3708038405883902,960,WMT24++,High Resource,Low Resource
Russian,Telugu,4-Bit,6.8253021567726675,26.860491803672694,0.7117039714629452,0.6364021216126275,960,WMT24++,High Resource,Low Resource
Russian,Swahili,4-Bit,20.941084252099134,40.800158725484025,0.7187341077874104,0.5354470232598639,960,WMT24++,High Resource,Low Resource
Zulu,German,Baseline,13.134549472120794,38.52135878504049,0.6731154601555318,0.461814136171597,960,WMT24++,Low Resource,High Resource
Zulu,Russian,Baseline,20.164945583740657,21.365905105340676,0.7007986215874553,0.3935733880246213,960,WMT24++,Low Resource,High Resource
Zulu,French,Baseline,27.499775953224137,53.4063163430564,0.6706674983724952,0.4122199232355342,960,WMT24++,Low Resource,High Resource
Zulu,Dutch,Baseline,19.72940627795883,25.83065132732061,0.6943026224772135,0.4476451561795935,960,WMT24++,Low Resource,Mid Resource
Zulu,Polish,Baseline,11.868405219520977,27.229822374447043,0.700394780219843,0.389773739502804,960,WMT24++,Low Resource,Mid Resource
Zulu,Latvian,Baseline,10.91708860711953,37.47272951717308,0.6718727764673531,0.2678880913779721,960,WMT24++,Low Resource,Mid Resource
Zulu,Telugu,Baseline,19.130147081392227,21.66748610005989,0.7038973580424984,0.4384933648247776,960,WMT24++,Low Resource,Low Resource
Zulu,Swahili,Baseline,26.293210120556132,39.08478456885272,0.7508395697921515,0.3679293962442898,960,WMT24++,Low Resource,Low Resource
Telugu,German,4-Bit,10.079037376973911,40.439972490847914,0.7265141150293251,0.6566898317891173,960,WMT24++,Low Resource,High Resource
Telugu,Russian,4-Bit,3.961125334317232,32.232141238220436,0.7585655228855709,0.6548562881085672,960,WMT24++,Low Resource,High Resource
Telugu,French,4-Bit,35.19924103526071,47.56726150138481,0.7247475227651496,0.639132851648416,960,WMT24++,Low Resource,High Resource
Telugu,Dutch,4-Bit,14.879641171245488,33.514586789679086,0.756204281312724,0.6425324207521044,960,WMT24++,Low Resource,Mid Resource
Telugu,Polish,4-Bit,6.5779793758793925,26.963575185296325,0.7567387752545377,0.6306985190914323,960,WMT24++,Low Resource,Mid Resource
Telugu,Latvian,4-Bit,16.59038701421971,39.33697419095895,0.71570361177437,0.4717330989811065,960,WMT24++,Low Resource,Mid Resource
Telugu,Zulu,4-Bit,5.300156689756295,36.91768099689246,0.7359144158040484,0.4503682737490938,960,WMT24++,Low Resource,Low Resource
Telugu,Swahili,4-Bit,20.138360231828862,42.686197940022055,0.7483007088458786,0.4991167210333515,960,WMT24++,Low Resource,Low Resource
Telugu,German,Baseline,23.5884481065342,38.80725816051374,0.7285668859258294,0.6583889714534356,960,WMT24++,Low Resource,High Resource
Telugu,Russian,Baseline,3.961125334317232,31.741940214475484,0.7588483199787637,0.6570798427075109,960,WMT24++,Low Resource,High Resource
Telugu,French,Baseline,24.446151121745043,47.756925481433534,0.7262326492927969,0.6403461966571437,960,WMT24++,Low Resource,High Resource
Telugu,Dutch,Baseline,10.278340422512994,33.01648652824963,0.7585674307929973,0.6445374357902135,960,WMT24++,Low Resource,Mid Resource
Telugu,Polish,Baseline,7.00452395445262,23.8657179286432,0.7575671274835865,0.6311335939370717,960,WMT24++,Low Resource,Mid Resource
Telugu,Latvian,Baseline,7.768562846380172,37.1345935477828,0.7258857217462112,0.4831700023821516,960,WMT24++,Low Resource,Mid Resource
Telugu,Zulu,Baseline,6.27465531099474,36.051790439830455,0.7363442873271803,0.4526601981274628,960,WMT24++,Low Resource,Low Resource
Telugu,Swahili,Baseline,13.134549472120794,34.43865589595403,0.7488545013746868,0.5042209876837054,960,WMT24++,Low Resource,Low Resource
Russian,German,Baseline,16.74765944848823,44.063125000356415,0.718899777935197,0.6146346361371494,960,WMT24++,High Resource,High Resource
Russian,French,Baseline,23.94868127217873,64.57872497315051,0.7194438435137271,0.5799879173316488,960,WMT24++,High Resource,High Resource
Russian,Dutch,Baseline,18.207052811092137,30.10546512741234,0.7385685661186775,0.587029077434272,960,WMT24++,High Resource,Mid Resource
Russian,Polish,Baseline,12.356221272626795,40.03043608637259,0.7576480935327708,0.6105996177672447,960,WMT24++,High Resource,Mid Resource
Russian,Latvian,Baseline,20.0080080096125,42.96025240552399,0.7113449635294576,0.453865986581756,960,WMT24++,High Resource,Mid Resource
Russian,Zulu,Baseline,7.755040492517498,37.66144284107866,0.7038797749982526,0.371994130636934,960,WMT24++,High Resource,Low Resource
Russian,Telugu,Baseline,6.8253021567726675,26.860491803672694,0.7113629500226428,0.6377619925474088,960,WMT24++,High Resource,Low Resource
Russian,Swahili,Baseline,19.66586469181768,34.599129963103685,0.7216950552072376,0.5420793206353361,960,WMT24++,High Resource,Low Resource
Telugu,German,8-Bit,12.10143778781065,28.5886475152672,0.7286591509822756,0.656623589976516,960,WMT24++,Low Resource,High Resource
Telugu,Russian,8-Bit,7.3140318268287645,32.218638804116246,0.7586497955645124,0.6569470807924518,960,WMT24++,Low Resource,High Resource
Telugu,French,8-Bit,24.446151121745043,47.756925481433534,0.7273825247461597,0.640873023988388,960,WMT24++,Low Resource,High Resource
Telugu,Dutch,8-Bit,10.07470807853229,31.19342460446119,0.757187873404473,0.6434789629847122,960,WMT24++,Low Resource,Mid Resource
Telugu,Polish,8-Bit,7.00452395445262,23.8657179286432,0.7608760193921625,0.6343838306861774,960,WMT24++,Low Resource,Mid Resource
Telugu,Latvian,8-Bit,7.768562846380172,37.1345935477828,0.725803248056521,0.4842275493327179,960,WMT24++,Low Resource,Mid Resource
Telugu,Zulu,8-Bit,6.27465531099474,36.051790439830455,0.7381721783429385,0.4540546012925915,960,WMT24++,Low Resource,Low Resource
Telugu,Swahili,8-Bit,13.134549472120794,34.43865589595403,0.7503330084650467,0.5053370138766089,960,WMT24++,Low Resource,Low Resource
Dutch,German,8-Bit,28.917849332325716,57.12202455523744,0.7768569664874424,0.7308197498651376,960,WMT24++,Mid Resource,High Resource
Dutch,Russian,8-Bit,16.57898075996042,27.699351941840465,0.772118494939059,0.6728240582800936,960,WMT24++,Mid Resource,High Resource
Dutch,French,8-Bit,34.23474955869019,57.412608254894394,0.7566221512077997,0.6724576722592853,960,WMT24++,Mid Resource,High Resource
Dutch,Polish,8-Bit,9.83748990557782,43.916278766498905,0.7863961144971351,0.653484715600401,960,WMT24++,Mid Resource,Mid Resource
Dutch,Latvian,8-Bit,19.96019880774733,46.42413700662387,0.7257273389492184,0.4881504969496745,960,WMT24++,Mid Resource,Mid Resource
Dutch,Zulu,8-Bit,9.820366272512825,43.95888087342718,0.7246545920303712,0.4989704881304836,960,WMT24++,Mid Resource,Low Resource
Dutch,Telugu,8-Bit,17.747405280050277,28.28556645212876,0.7404799325857312,0.6352152647469969,960,WMT24++,Mid Resource,Low Resource
Dutch,Swahili,8-Bit,12.334713408204747,33.50570564473491,0.7476721356312434,0.5889519165881211,960,WMT24++,Mid Resource,Low Resource
Russian,German,8-Bit,16.74765944848823,44.063125000356415,0.7186180649946133,0.6117131626073388,960,WMT24++,High Resource,High Resource
Russian,French,8-Bit,23.94868127217873,64.57872497315051,0.7192214799424013,0.5801828594092513,960,WMT24++,High Resource,High Resource
Russian,Dutch,8-Bit,18.207052811092137,30.10546512741234,0.737203496787697,0.585862199771509,960,WMT24++,High Resource,Mid Resource
Russian,Polish,8-Bit,12.356221272626795,40.03043608637259,0.7585608889659246,0.610991718431372,960,WMT24++,High Resource,Mid Resource
Russian,Latvian,8-Bit,20.0080080096125,42.96025240552399,0.7130221114183466,0.4573105951499504,960,WMT24++,High Resource,Mid Resource
Russian,Zulu,8-Bit,8.25791079503452,36.77844019428478,0.7040627060613285,0.3737233983284871,960,WMT24++,High Resource,Low Resource
Russian,Telugu,8-Bit,6.8253021567726675,26.860491803672694,0.7111134027441343,0.6382726016604768,960,WMT24++,High Resource,Low Resource
Russian,Swahili,8-Bit,19.66586469181768,34.599129963103685,0.7221190262430658,0.5404281057786041,960,WMT24++,High Resource,Low Resource
German,Russian,4-Bit,12.137294292683093,27.39225639691638,0.778158328589052,0.7022645823667214,960,WMT24++,High Resource,High Resource
German,French,4-Bit,35.993062543531785,57.76651118221873,0.7469590173413356,0.6681101408893786,960,WMT24++,High Resource,High Resource
German,Dutch,4-Bit,35.49481056010054,35.996546251083764,0.7922789803240449,0.7153108932824883,960,WMT24++,High Resource,Mid Resource
German,Polish,4-Bit,13.485111859503691,25.715408445205927,0.7768788823547462,0.6763946007098033,960,WMT24++,High Resource,Mid Resource
German,Latvian,4-Bit,25.40663740773074,45.83240701272494,0.7256035408936441,0.5143917533923135,960,WMT24++,High Resource,Mid Resource
German,Zulu,4-Bit,11.478744233307168,36.8985237742851,0.7243086736183614,0.5050268787648141,960,WMT24++,High Resource,Low Resource
German,Telugu,4-Bit,40.82482904638629,14.15337971083264,0.7355979460602006,0.6660421699270955,960,WMT24++,High Resource,Low Resource
German,Swahili,4-Bit,37.991784282579665,26.532707162325615,0.7418776929844171,0.6405860005523816,960,WMT24++,High Resource,Low Resource
Dutch,German,Baseline,27.811732562962742,54.538339008490475,0.7748704398516566,0.7293094129248251,960,WMT24++,Mid Resource,High Resource
Dutch,Russian,Baseline,16.57898075996042,27.699351941840465,0.7730908680241555,0.6749441068692249,960,WMT24++,Mid Resource,High Resource
Dutch,French,Baseline,34.23474955869019,57.412608254894394,0.7562284981521468,0.6729852318623064,960,WMT24++,Mid Resource,High Resource
Dutch,Polish,Baseline,9.263986277915476,45.01098590148114,0.7851198765449225,0.6524584762941231,960,WMT24++,Mid Resource,Mid Resource
Dutch,Latvian,Baseline,19.96019880774733,46.42413700662387,0.7287261778488755,0.490499401630465,960,WMT24++,Mid Resource,Mid Resource
Dutch,Zulu,Baseline,9.820366272512825,43.95888087342718,0.7233283498324454,0.4969433639019068,960,WMT24++,Mid Resource,Low Resource
Dutch,Telugu,Baseline,17.747405280050277,28.28556645212876,0.739775126784419,0.6346824506181292,960,WMT24++,Mid Resource,Low Resource
Dutch,Swahili,Baseline,12.334713408204747,33.50570564473491,0.7464559724554419,0.5892790865686645,960,WMT24++,Mid Resource,Low Resource
Latvian,German,4-Bit,9.864703138979417,47.62717242341466,0.7046085281297565,0.5806106960527055,960,WMT24++,Mid Resource,High Resource
Latvian,Russian,4-Bit,13.04237150061073,36.08258101685624,0.7567429812004168,0.6296356523428889,960,WMT24++,Mid Resource,High Resource
Latvian,French,4-Bit,42.04482076268573,50.65197213370274,0.7036925387568772,0.5569712468456903,960,WMT24++,Mid Resource,High Resource
Latvian,Dutch,4-Bit,19.251614434393563,38.11954003329029,0.7309023726110657,0.5514229928094816,960,WMT24++,Mid Resource,Mid Resource
Latvian,Polish,4-Bit,6.8253021567726675,25.38307771340687,0.7369817685801536,0.544277200109112,960,WMT24++,Mid Resource,Mid Resource
Latvian,Zulu,4-Bit,8.25791079503452,39.509520966543285,0.7118584461510181,0.2989641489451363,960,WMT24++,Mid Resource,Low Resource
