source_lang,target_lang,quant_level,bleu,chrf,comet22,kiwi23,num_sentences,benchmark,source_lang_resource_level,target_lang_resource_level
Latvian,French,4-Bit,29.61,55.89,0.8168,0.7737,1012,FloRes,Mid Resource,High Resource
Latvian,Dutch,4-Bit,18.28,49.35,0.8292,0.7169,1012,FloRes,Mid Resource,Mid Resource
Latvian,Polish,4-Bit,14.52,43.9,0.8529,0.7076,1012,FloRes,Mid Resource,Mid Resource
Latvian,Zulu,4-Bit,8.56,47.15,0.7396,0.3088,1012,FloRes,Mid Resource,Low Resource
Latvian,Telugu,4-Bit,11.27,44.41,0.7978,0.5513,1012,FloRes,Mid Resource,Low Resource
Latvian,Swahili,4-Bit,17.7,49.3,0.7979,0.4461,1012,FloRes,Mid Resource,Low Resource
Swahili,German,4-Bit,23.31,51.25,0.7899,0.7383,1012,FloRes,Low Resource,High Resource
Swahili,Russian,4-Bit,20.48,46.82,0.8301,0.6991,1012,FloRes,Low Resource,High Resource
Swahili,French,4-Bit,30.98,55.25,0.8004,0.7405,1012,FloRes,Low Resource,High Resource
Swahili,Dutch,4-Bit,18.85,48.84,0.8022,0.693,1012,FloRes,Low Resource,Mid Resource
Swahili,Polish,4-Bit,14.4,41.86,0.8239,0.5554,1012,FloRes,Low Resource,Mid Resource
Swahili,Latvian,4-Bit,14.2,42.58,0.7859,0.3913,1012,FloRes,Low Resource,Mid Resource
Swahili,Zulu,4-Bit,12.78,51.61,0.7823,0.3856,1012,FloRes,Low Resource,Low Resource
Swahili,Telugu,4-Bit,12.68,46.23,0.801,0.5287,1012,FloRes,Low Resource,Low Resource
Telugu,German,4-Bit,22.01,51.25,0.8154,0.7129,1012,FloRes,Low Resource,High Resource
Telugu,Russian,4-Bit,19.28,47.22,0.8524,0.7092,1012,FloRes,Low Resource,High Resource
Telugu,French,4-Bit,30.62,56.99,0.8337,0.7075,1012,FloRes,Low Resource,High Resource
Telugu,Dutch,4-Bit,18.0,49.05,0.832,0.6859,1012,FloRes,Low Resource,Mid Resource
Telugu,Polish,4-Bit,13.35,42.19,0.8431,0.68,1012,FloRes,Low Resource,Mid Resource
Telugu,Latvian,4-Bit,12.82,42.05,0.7958,0.5185,1012,FloRes,Low Resource,Mid Resource
Telugu,Zulu,4-Bit,10.63,48.95,0.7627,0.4485,1012,FloRes,Low Resource,Low Resource
Telugu,Swahili,4-Bit,21.17,51.78,0.819,0.5237,1012,FloRes,Low Resource,Low Resource
Polish,German,4-Bit,21.1,50.98,0.8388,0.7867,1012,FloRes,Mid Resource,High Resource
Polish,Russian,4-Bit,19.24,47.98,0.8797,0.8073,1012,FloRes,Mid Resource,High Resource
Polish,French,4-Bit,28.19,55.45,0.8342,0.7991,1012,FloRes,Mid Resource,High Resource
Polish,Dutch,4-Bit,18.0,48.96,0.8421,0.7389,1012,FloRes,Mid Resource,Mid Resource
Polish,Latvian,4-Bit,12.97,43.27,0.8079,0.5777,1012,FloRes,Mid Resource,Mid Resource
Polish,Zulu,4-Bit,8.38,46.72,0.7239,0.4465,1012,FloRes,Mid Resource,Low Resource
Polish,Telugu,4-Bit,9.84,42.91,0.7916,0.6427,1012,FloRes,Mid Resource,Low Resource
Polish,Swahili,4-Bit,17.5,48.88,0.7921,0.5566,1012,FloRes,Mid Resource,Low Resource
Polish,German,Baseline,21.16,50.86,0.8391,0.7889,1012,FloRes,Mid Resource,High Resource
Polish,Russian,Baseline,19.4,48.18,0.879,0.8076,1012,FloRes,Mid Resource,High Resource
Polish,French,Baseline,28.18,55.47,0.8366,0.8036,1012,FloRes,Mid Resource,High Resource
Polish,Dutch,Baseline,18.28,49.14,0.8447,0.741,1012,FloRes,Mid Resource,Mid Resource
Polish,Latvian,Baseline,13.72,43.82,0.8099,0.5934,1012,FloRes,Mid Resource,Mid Resource
Polish,Zulu,Baseline,8.16,46.83,0.7228,0.4509,1012,FloRes,Mid Resource,Low Resource
Polish,Telugu,Baseline,9.8,43.55,0.7978,0.6465,1012,FloRes,Mid Resource,Low Resource
Polish,Swahili,Baseline,17.49,49.03,0.7929,0.558,1012,FloRes,Mid Resource,Low Resource
Latvian,German,8-Bit,22.16,51.52,0.8223,0.7604,1012,FloRes,Mid Resource,High Resource
Latvian,Russian,8-Bit,22.33,50.21,0.8674,0.7942,1012,FloRes,Mid Resource,High Resource
Latvian,French,8-Bit,30.02,56.16,0.8212,0.7796,1012,FloRes,Mid Resource,High Resource
Latvian,Dutch,8-Bit,18.3,49.49,0.8309,0.7176,1012,FloRes,Mid Resource,Mid Resource
Latvian,Polish,8-Bit,15.07,44.46,0.8549,0.7119,1012,FloRes,Mid Resource,Mid Resource
Latvian,Zulu,8-Bit,8.92,47.78,0.7403,0.3112,1012,FloRes,Mid Resource,Low Resource
Latvian,Telugu,8-Bit,11.45,44.66,0.7988,0.5483,1012,FloRes,Mid Resource,Low Resource
Latvian,Swahili,8-Bit,17.72,49.19,0.7986,0.4457,1012,FloRes,Mid Resource,Low Resource
Latvian,German,Baseline,22.14,51.5,0.822,0.7595,1012,FloRes,Mid Resource,High Resource
Latvian,Russian,Baseline,22.36,50.28,0.8688,0.797,1012,FloRes,Mid Resource,High Resource
Latvian,French,Baseline,30.14,56.3,0.8218,0.7798,1012,FloRes,Mid Resource,High Resource
Latvian,Dutch,Baseline,18.32,49.39,0.8304,0.7195,1012,FloRes,Mid Resource,Mid Resource
Latvian,Polish,Baseline,14.98,44.38,0.8538,0.7092,1012,FloRes,Mid Resource,Mid Resource
Latvian,Zulu,Baseline,8.94,47.65,0.7393,0.3089,1012,FloRes,Mid Resource,Low Resource
Latvian,Telugu,Baseline,11.46,44.75,0.8002,0.5489,1012,FloRes,Mid Resource,Low Resource
Latvian,Swahili,Baseline,17.69,49.13,0.798,0.4444,1012,FloRes,Mid Resource,Low Resource
French,German,Baseline,28.03,56.83,0.8436,0.7896,1012,FloRes,High Resource,High Resource
French,Russian,Baseline,23.89,52.06,0.8776,0.8007,1012,FloRes,High Resource,High Resource
French,Dutch,Baseline,22.13,53.36,0.8543,0.7712,1012,FloRes,High Resource,Mid Resource
French,Polish,Baseline,17.18,46.64,0.8728,0.7501,1012,FloRes,High Resource,Mid Resource
French,Latvian,Baseline,17.03,47.18,0.8229,0.5869,1012,FloRes,High Resource,Mid Resource
French,Zulu,Baseline,11.87,51.39,0.7457,0.5449,1012,FloRes,High Resource,Low Resource
French,Telugu,Baseline,13.45,47.9,0.8178,0.658,1012,FloRes,High Resource,Low Resource
French,Swahili,Baseline,22.08,53.46,0.8133,0.7014,1012,FloRes,High Resource,Low Resource
German,Russian,8-Bit,24.66,52.45,0.876,0.8605,1012,FloRes,High Resource,High Resource
German,French,8-Bit,36.75,62.05,0.8515,0.8583,1012,FloRes,High Resource,High Resource
German,Dutch,8-Bit,22.95,53.89,0.867,0.8444,1012,FloRes,High Resource,Mid Resource
German,Polish,8-Bit,17.42,46.75,0.8794,0.8362,1012,FloRes,High Resource,Mid Resource
German,Latvian,8-Bit,17.23,46.93,0.8196,0.6899,1012,FloRes,High Resource,Mid Resource
German,Zulu,8-Bit,10.27,50.31,0.7373,0.5908,1012,FloRes,High Resource,Low Resource
German,Telugu,8-Bit,13.4,48.43,0.8163,0.7016,1012,FloRes,High Resource,Low Resource
German,Swahili,8-Bit,21.67,53.36,0.8107,0.7934,1012,FloRes,High Resource,Low Resource
Dutch,German,4-Bit,21.85,52.01,0.8444,0.8559,1012,FloRes,Mid Resource,High Resource
Dutch,Russian,4-Bit,18.16,46.67,0.8615,0.841,1012,FloRes,Mid Resource,High Resource
Dutch,French,4-Bit,28.98,56.31,0.8351,0.8609,1012,FloRes,Mid Resource,High Resource
Dutch,Polish,4-Bit,14.3,43.32,0.8616,0.7928,1012,FloRes,Mid Resource,Mid Resource
Dutch,Latvian,4-Bit,13.29,43.4,0.8097,0.6424,1012,FloRes,Mid Resource,Mid Resource
Dutch,Zulu,4-Bit,8.17,47.31,0.7287,0.5633,1012,FloRes,Mid Resource,Low Resource
Dutch,Telugu,4-Bit,10.58,44.21,0.803,0.6642,1012,FloRes,Mid Resource,Low Resource
Dutch,Swahili,4-Bit,18.06,49.71,0.7969,0.7157,1012,FloRes,Mid Resource,Low Resource
Zulu,German,Baseline,20.69,48.43,0.7486,0.5652,1012,FloRes,Low Resource,High Resource
Zulu,Russian,Baseline,18.04,44.24,0.7942,0.497,1012,FloRes,Low Resource,High Resource
Zulu,French,Baseline,27.86,52.68,0.7581,0.5532,1012,FloRes,Low Resource,High Resource
Zulu,Dutch,Baseline,16.69,46.76,0.765,0.5451,1012,FloRes,Low Resource,Mid Resource
Zulu,Polish,Baseline,13.22,40.17,0.7876,0.4626,1012,FloRes,Low Resource,Mid Resource
Zulu,Latvian,Baseline,13.09,40.52,0.7511,0.275,1012,FloRes,Low Resource,Mid Resource
Zulu,Telugu,Baseline,10.68,43.52,0.7584,0.439,1012,FloRes,Low Resource,Low Resource
Zulu,Swahili,Baseline,21.75,51.35,0.798,0.3973,1012,FloRes,Low Resource,Low Resource
Russian,German,4-Bit,24.46,53.63,0.8309,0.78,1012,FloRes,High Resource,High Resource
Russian,French,4-Bit,32.45,58.22,0.8327,0.8012,1012,FloRes,High Resource,High Resource
Russian,Dutch,4-Bit,19.07,50.04,0.8358,0.7588,1012,FloRes,High Resource,Mid Resource
Russian,Polish,4-Bit,16.05,45.34,0.8751,0.7627,1012,FloRes,High Resource,Mid Resource
Russian,Latvian,4-Bit,16.25,46.83,0.8261,0.6323,1012,FloRes,High Resource,Mid Resource
Russian,Zulu,4-Bit,9.24,48.26,0.7313,0.4753,1012,FloRes,High Resource,Low Resource
Russian,Telugu,4-Bit,12.13,46.26,0.8051,0.6874,1012,FloRes,High Resource,Low Resource
Russian,Swahili,4-Bit,20.17,51.26,0.7934,0.6956,1012,FloRes,High Resource,Low Resource
German,Russian,4-Bit,24.47,52.05,0.8755,0.8604,1012,FloRes,High Resource,High Resource
German,French,4-Bit,36.48,61.86,0.8493,0.8499,1012,FloRes,High Resource,High Resource
German,Dutch,4-Bit,22.83,53.72,0.8656,0.8445,1012,FloRes,High Resource,Mid Resource
German,Polish,4-Bit,17.27,46.5,0.8766,0.8325,1012,FloRes,High Resource,Mid Resource
German,Latvian,4-Bit,16.99,46.46,0.8151,0.6814,1012,FloRes,High Resource,Mid Resource
German,Zulu,4-Bit,10.47,50.34,0.7369,0.5928,1012,FloRes,High Resource,Low Resource
German,Telugu,4-Bit,13.21,48.01,0.8132,0.6987,1012,FloRes,High Resource,Low Resource
German,Swahili,4-Bit,21.37,52.88,0.8085,0.781,1012,FloRes,High Resource,Low Resource
Telugu,German,Baseline,22.35,51.67,0.8182,0.714,1012,FloRes,Low Resource,High Resource
Telugu,Russian,Baseline,19.28,47.27,0.8515,0.708,1012,FloRes,Low Resource,High Resource
Telugu,French,Baseline,30.86,57.32,0.8363,0.7085,1012,FloRes,Low Resource,High Resource
Telugu,Dutch,Baseline,18.22,49.13,0.8328,0.6859,1012,FloRes,Low Resource,Mid Resource
Telugu,Polish,Baseline,13.6,42.73,0.8475,0.6797,1012,FloRes,Low Resource,Mid Resource
Telugu,Latvian,Baseline,12.75,42.45,0.797,0.5266,1012,FloRes,Low Resource,Mid Resource
Telugu,Zulu,Baseline,10.57,49.14,0.766,0.4463,1012,FloRes,Low Resource,Low Resource
Telugu,Swahili,Baseline,21.84,52.35,0.8223,0.5253,1012,FloRes,Low Resource,Low Resource
