lang,direction,mode,split,bleu,chrf,comet22,kiwi23,num_sentences
de,en2x,pruned,test,25.46,52.88,0.7512,0.6485,960
de,x2en,pruned,test,30.50,56.26,0.8069,0.7805,960
ru,en2x,pruned,test,20.82,46.30,0.7608,0.6374,960
ru,x2en,pruned,test,23.45,50.13,0.7626,0.7357,960
fr,en2x,pruned,test,34.98,58.92,0.7625,0.6345,1920
fr,x2en,pruned,test,36.16,60.64,0.8138,0.7664,1920
nl,en2x,pruned,test,26.00,51.39,0.7730,0.6448,960
nl,x2en,pruned,test,31.67,57.74,0.8185,0.8014,960
pl,en2x,pruned,test,15.54,41.05,0.7627,0.5800,960
pl,x2en,pruned,test,24.97,53.48,0.7812,0.6926,960
lv,en2x,pruned,test,16.87,42.48,0.7155,0.4427,960
lv,x2en,pruned,test,25.66,51.11,0.7702,0.6981,960
zu,en2x,pruned,test,24.62,60.21,0.7733,0.5788,960
zu,x2en,pruned,test,34.77,56.74,0.7633,0.6094,960
te,en2x,pruned,test,11.42,44.57,0.7276,0.5881,960
te,x2en,pruned,test,24.21,49.06,0.8110,0.6737,960
sw,en2x,pruned,test,22.10,51.40,0.7136,0.5262,1920
sw,x2en,pruned,test,30.74,54.71,0.7835,0.7366,1920
